sentiment, sentence
5,Recommended
4,This case arrived exactly on time and was well packaged ...
1,Error Prone and Random Key Failures
1,don't buy!!!
3,and it's not very comfortable to be
5,"good value, very prompt service"
5,garden lights
3,Good condition except battery.
5,I would highly recommend it to my friends
1,Stops working after 1-2 months of using it.
1,loved it. Nice design
5,Quality stuff for the money
2,No SIM CardCover remover - Less battery autonomy than the expected
5,Great for sensitive skin!
5,Great for sensitive skin!
5,Great for sensitive skin!
5,Great for sensitive skin!
5,Great for sensitive skin!
5,Easy to put on and would recommend.
5,Love my new phone
1,the left mouse button did not work and a part ...
2,only worked 3 feet away in direct line of sight ...
5,I love this
1,Disappointed!
2,Pretty good. But one was DOA.
3,"Works great, keyboard had some flaws."
2,Cambiar a español Hello I bought an iPhone and was ...
3,It's worth the price
1,Very disappointed and sad
2,I can't hear clearly when talking on the phone the ...
1,I did not like my purchase had to bring phone in to Apple ...
5,Highly recommend
5,Highly recommend
1,"I had multiple problems phone, like space, Internet access, and now battery port.  I need new phone 3 months later"
2,Great! But useless if you want to listen to earphones.
5,Can't believe how amazing this phone is for the money
2,DONT BOTHER
5,Amazing price for this phone
1,This product the mouse is working fine but the keyboard I have to wait sometimes until ...
2,Stopped working only after 3 months
2,No unifying receiver
1,"Most of these phones are not paid off, can't unlock with carrier"
5,So far so good..
2,Asian iPhone camera shutter problem
1,Could of been better. Buy it if you want to keep investing in it.
1,Horrriable
1,and bearly gets reception where everyone else's gets great reception! I guess that's what I get for ...
2,The keyboard has a delay that makes each stroke like one forward two back
1,The phone's battery sucks..
1,Worst Experience Yet!
3,Not all that great
3,but i loved the convenience of not having any wires
1,"Don't get the white one, nothing but trouble"
2,Buy Something Better
5,Expectations met!
1,Phone was purchased as a gift for my son. ...
5,Betron Belter!
5,"Well built, great sound and battery life, build quality doesn't detract from an otherwise great experience"
1,Poor audio
5,Perfect Phone!
5,The Perfect upgrade iPhone 6!
1,Defective part- Requesting replacement.
3,Terrible for some games like WOW
1,One lost
5,easy to apply tempered glass phone screen
2,Refund/replacement
1,DONT BUY THIS PRODUCT
5,Excellent!!
5,Excellent!!
5,Excellent!!
5,great first phone for my mother
1,No Range
3,overall it is a great mouse but i do have 2 problems
1,I ordered this and the description (and photo on the ...
5,"Good service, good product."
1,Mouse died
1,"short after receiving the phone, the touch screen is ..."
5,👍🏻
1,Four Stars
3,Looks good but no earphones!
5,Good wireless charger for Galaxy S9
3,Its a nice mouse I gave it a 3 because the scroll ...
3,Slippery cover!
2,Got the phone and it looked great until I tried calling people and they couldn’t hear ...
5,Fantastic quality case
1,Benfits - Pretty Cheap - Different Mouse speeds Cons - mouse speeds ...
5,Very nice phone for the price
3,everything works fine but my left botton doesn't work and i had ...
5,Great find!
5,Great find!
2,Mouse wheel wonky
5,Excellent price -quality ratio
5,Better to be safe than sorry
2,Not compatible with Logitech unifying receiver
1,ScrollWheel is definitely Substandard
5,Phone looks brand new
5,quick delivery good price nice product
1,Constant issues with the keyboard
5,A GREAT VALUE!
1,Piece of junk. Should have returned it when I ...
4,Au natural
3,Good mouse. Keyboard so-so
5,wow......
1,If they fully tested the phone like they said they would have seen all these
1,"Cheap piece of junk, mouse didn't work at setup, right-click doesn't work to copy and paste"
1,THIS PRODUCT SUCKS
3,I can't see that the cd did anything other than waste my time
5,"If you need an iphone, get it here!"
3,It works if unobstructed
3,... it only stays at 1 color besides thats its pretty cool
1,returned twice
1,Battery swelling and won't hold a charge.
5,It’s a peel off mask. Removes blackheads. Face feels fantastic.
5,It’s a peel off mask. Removes blackheads. Face feels fantastic.
5,It’s a peel off mask. Removes blackheads. Face feels fantastic.
5,It’s a peel off mask. Removes blackheads. Face feels fantastic.
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
3,Three Stars
1,"Very disappointed with the false description, this case is only for iPhone 7's"
4,$$
2,"never expect a keyboard to be this bad, the responsive time is way too ridiculous"
1,The Phone is trash and don’t buy
1,Phone was locked
5,BUY IT
5,Love these tempered glass screens I dropped my phOne several ...
3,The keyboard is exactly what I wanted but the mouse ...
3,not sensitive mouse
5,Amazing phone for the price!
3,Battery life is pretty bad and it turns out the phone was manufactured ...
3,It's a nice cheaper mouse and keyboard but don't expect a great ...
2,Not that good
1,Would be good if wasn't so self-destructive.
1,Eeehhhh
4,Good value and functions fine
5,PERFECT
5,PERFECT
1,"I love purple, but not like this!"
5,Plug in any USB device with this little Gem.
3,Decent combo set
1,Not unlocked!
3,"Its Fine, But"
3,mouse wheel broke
1,Not worth it!
2,Not the best thing in the world if you have large hands
1,Impossible to attach the stand.
3,To click on something with this mouse you have to ...
2,Wears too easily
1,It lights up and is totally cool looking. The roller (on top) just started to ...
1,Buy something else.
3,Faulty
1,Pantalla despegada
5,Very happy with them i got a second pair for my ...
1,Bad Seller
3,Serious quality problems
2,Cool looking but not so great.
5,My favorite Phone Ever!!!
2,Bought one three years ago and loved it. Decided to buy a new one earlier ...
1,"I like Logitech, but this has so far disappointed."
3,It looks awesome as it lights up and changes color
4,A Good Alternative to Going to Carrier for Replacement
3,The telephone is worth purchasing and worth the price.
3,"Good Keyboard, Bad Mouse"
5,"the cellphone it's very nice, I'm really happy with it"
1,piece of junk went to safe mode cant get it ...
3,Great apart from the microphone which is very dodgy
5,Beautiful designs
5,"The cell phone arrived in excellent condition, no scratches"
5,"The cell phone arrived in excellent condition, no scratches"
1,Very unhappy customer
5,Fantastic Deal
1,the first two were flawless and I loved them. The other two the seem to be ...
5,Great product and great customer service
5,worth it!
2,Flimsy
1,2 DOA in a row.  Junk.
1,Awful
2,"The mouse works fine, but the keyboard has a 2 to 3 ..."
1,Waste of TIme!
2,Lasted a Little More than a Month
1,I plugged in my backup bluetooth mouse and it worked like a charm so the issue was not on my ...
1,Says it works with tmobile however the phone does not ...
1,"i received the phone not as described, it has ..."
4,"iPhone 7 Plus on display, excellent protection and fingerprint magnet"
5,"Good Quality, Durable Earphones"
5,... received it today but everything seems to be working great and it looks brand new
4,4 star
4,decent
5,Nice slim case
2,internet takes FOREVER as to be useless and not work
3,lagging
3,Too big
2,Good for a few days
3,"Keyboard great, mouse not so good"
5,iPhone cables
3,takes a lot for me to love something.
5,Like new!
3,Damaged internally somehow
1,Knackered battery
2,"Affordable, but feels uncomfortable"
3,it works... it just does not have ...
1,Too many problems...
1,While the monitor was inexpensive and had a great display for the price
3,Can't touch-type because keys have to be more fully depressed
4,... this phone a couple days ago but I don't like the fact that my camera make this camera sound ...
5,Value for Money
5,Great value just as expected
5,It is perfect. I was a bit scared at first because ...
5,very good
3,Ok but had marks on
2,Bad Mouse - Thought product would be a good one
1,"Don't buy unless you like settling for 50% - as in 50% functional, 50% reliable, 50% worth the money..."
5,Fits like a glove ... 5 stars
5,Incredible value
1,"NOT A GOOD MONITOR- DOESNT WORK!"""
1,mobile battery stopped charging in 2 months !!
1,Thanks for helping me waste my money
2,... was not even close to my idea of a good phone. It was very cheaply made
5,Great product- a must have for everyone!
1,Certain Keys on the Keyboard Do Not Work
1,Vendor ships bad product
5,The whole process was way better than I expected
1,It suddenly for no reason stopped working the day I ...
5,Micro usb adapter cable
4,It works fantastically
1,Didnt last 4 months.
2,Serves its purpose without achievement
1,Doesn't work with my game system.
1,"Broken, and useless"
3,i get a lot of interference on these so the ...
5,Beautiful phone. Thought I could use micro sim but ...
1,Not working properly. Didn't even last a year.
5,Easy to apply and good quality
1,If the device is working
3,Glitchy mouse..
5,Excelente
5,Arrived in two days (standard shipping) No problem whatsoever Best bargain ever
5,great game
5,But it was a sturdy metal case with a rubber inside
1,The Cable was missing I had to pay extra for ...
1,It arrived quickly and I loved it. The colors are beautiful
4,the phone work fine for it price
5,A good choice
1,Unusable.
4,Practical Replacement for an S3
1,Negative ratings
2,The phone is not working. I took it to ...
4,"Great little speaker. Color is not accurate, though"
5,Just aa described!
1,The keyboard only works about half the time. I ...
4,It's great but i wonder what's going on with the battery ...
3,Pretty but big
4,Great product!
2,and thought it was pretty cool. The DPI looked good and I enjoyed ...
1,I’m really disappointed.
2,Too soft.
5,Great little phone I ordered this phone while on a ...
2,Doesn't work on Mac
2,Cheap but...
4,Cute but made of cheap plastic.
1,Bought 6 of these for the office. All 6 ...
3,OK for the price.
1,Very bad charger and wire does not work permanently and also ...
1,Worst piece of junk I've ever bought
5,iphone 6 screen protector
5,10000% a beats
4,Satisfied
4,Item is just what i was looking for. It ...
1,"... bought 2 of these and the quality is so bad, they were useless from the the first time ..."
3,does the job
5,Great condition. Started right up with ATT
1,I wouldn't recommend anyone to buy this
5,I did order one size bigger than my cases as suggested and they are perfect! No need to throw in the dryer to ...
5,Neat connector
1,The keyboard would not turn on and the USB tab ...
5,Excellent refurbished product.
3,It works fine. Keyboard a little noisy
4,Just right
3,Test Your Phone Fully/Siri Cant Heat Me...
1,"Does not work properly, Just ordered a new one ..."
1,Careful. The receiver may not be included! Had ...
4,Nice build/a few issues that may limit your usage depending on model though.
2,"Liked at first, too many issues.  Go somewhere else for your mouse needs"
3,Slight delay on releasing the mouse button. When clicking ...
5,and this is a perfect replacement.
3,Eh
3,Best of the Cheapie Combos
1,"Mouse does not track true"" in the horizontal direction"""
2,dead keyboard and mouse
3,Plug and play great value.
1,"Terrible IPhone,"
1,Defective Cables
1,I can't even recommend to anybody
1,I have had 1 break with the slightest adjustment of ...
3,Spend a bit more for better model
1,broke within 2 weeks
2,Throw it in the junk drawer as backup.
5,Like there's nothing there
1,"the screen was acting funny, like the phone was about to die"
4,Good phone for the price
5,It’s almost perfect
2,Don't believe the hype
3,The mouse is ... fine enough for < $10
5,Great product
5,amazing
1,Gave the phone as gift and realize after getting it ...
3,Scroll Wheel stopped working.
1,The camera has poor resolution. Do not spend your money on this ...
1,Defective.
2,"The picture quality is great, but the stand cassette wouldn't work correctly had ..."
5,Absolute bargain - most worth it on the site!
5,Love this mask I got in in a subscription box ...
5,Love this mask I got in in a subscription box ...
5,Love this mask I got in in a subscription box ...
5,Love this mask I got in in a subscription box ...
5,Great screen protector
1,Get a G502 or Tyon
5,Excellent economy smartphone!
3,"ehhhh i mean..., refurbished"
1,Quite disappointed
5,Worked AMAZING for my parents
1,Broke phone
1,Didn't last 30 seconds
1,I'll be buying another better one with good
5,Wow.
1,Just died the other day
5,Quality. Presentation
2,i purchased this in december of 2016 i was happy with it at first (the mouse is abit small) ...
5,Perfect iPhone!
1,Mouse is garbage.
5,satisfied
2,... last that long other than that it was a great
5,I love this phone but the one day shipping failed but ...
5,Don’t hide away your red phone!
1,Monitor was great when it operated
1,rendering it useless.
1,Never worked
2,I dont like the way it fits on your hand and i ...
3,Keyboard is good for generic.
4,these are vastly superior to both
5,three-generation-old iPhone 6 is showing its age
5,Updates cables are fantastic
4,Iphone 6
3,"surprisingly good mouse for the price, but paint wears off very quickly."
1,... day that i got the iphone 6 everything was fine it look brand new
5,Excellent but
1,Do Not Buy!  Ver Poor Quality!
3,I use this for work so it is annoying all day long
1,Does not work properly.
1,the screen of the phone broke yet the screen 'protector' remained fine. Doesn't protect the actual phone at all
5,All good.
1,Disappointed.
1,Disappointed.
3,Had to rearrange things a little to get this to work well in my living room like I wanted
5,Looks great
2,Too big for small hands!!!!!
5,... steal at the price but the sound is very good for the type of music I listen too -The ...
1,Keep Looking
4,good phone
2,Manual on item page describes a different product
2,... scroll has stopped functioning properly leaving this mouse practically useless for the way I use a mouse
1,Phantom movements
1,dead pixel after 5 months
1,Logitech is awful
4,"Good sound quality, comfortable fit, blocks outside noise very well."
5,Great product. Not necessary to purchase OEM.Recommended!
1,I ordered 3 of these and none of the keyboards ...
1,I would not recommend this seller
1,"You get what you pay for, don't waste your money on this keyboard"
5,This is a great replacement for QC 15 headphones
3,bad paint and anti friction pads
1,Not worth it.  Spend a few more dollars and get something worth having
3,Image quality is great. It lacks a set of mounting holes
3,the box did not contain the charger and the earphones ...
1,Would give zero stars but not an option!
1,It would be a zero but that wasn’t an option ...
1,stop working after 3 weeks!!!
1,"Without, the keyboard is useless."
1,order 2 and the screen of one of them does ...
5,RCA cell phone .
1,Garbage. DOA
3,Bad scroll bar
5,Look like new
4,The back of the phone feels kind of flimsy plastic ...
3,Works good but...
5,Phone is good
5,Happy !
3,I like the changing colors
1,no good. It just all of a sudden stopped working
1,"Wow! and then boom, nothing."
1,Defective iPhone
1,I received the phone and it is locked. When ...
1,Absolute Junk! Don't Buy This!
5,"Great Phone, Great Price, Appears Brand New!"
3,Keys fell out during shipping
5,IM IN LOVE..
5,Excellent quality and they look great
1,It's ehhh
2,Wonky product... wouldn’t buy it again
3,Satisfied customer
5,Great replacement pads
2,"Worked great, but wheel broke"
1,would not work with a go chip. Screen is ...
5,Does the job!
1,DID NOT WORK WHEN RECEIVED. SO UPSET.
3,Sound is good enough.
1,... works well except the FaceTime and iMessage I’m really disappointed by that
1,Defective and Not Ergonomic
5,Very useful for connections to my Nexus 7 tablet
4,"Extraordinary Audio Quality, but..."
5,Where has this technology been????
2,Highly disappointed with RCA phone.
5,Super!
2,Super annoying.
5,Great cables
5,A really good buy!
1,Faulty RCA Phone
1,Didn’t get nano receiver
1,We have had constant problems with this phone. Won't ...
3,No HDMI cable!!!!
1,Constant Dropped Connection
3,It is much more comfortable and easier to type on
2,USB receiver cap fell off.
3,For the price I can't complain too much. Does ...
1,WORST PRODUCT I HAVE EVER BOUGHT
2,There is a need to root this phone yet not all root apps or programs are good or safe to use
1,ONLY WORKS ON SELECT NETWORKS
4,Could be thinner
1,Weak signal strength - Not able to make a call (useless)
1,It’s bad enough that it’s HDMI compatible and that the cable’s ...
5,a great improvement from the last generation H9's
1,I recieved a lock phone instead of an unlock phone ...
2,Refurbished phone with battery issues
2,Refurbished phone with battery issues
2,"Partially broken, get what you pay"
5,the product was professionally packaged and works great. All around good experience
1,Bad quality!!!
3,"Ok for low budget, but not for a long time."
5,Fits good.
1,Bad cable!
3,Was great. Had it for one year and had issues ...
3,It says it comes with a hdmi cable. No ...
5,Awesome!
5,Awesome!
1,ONE TWO TREE STRIKES YOUR OUT.
1,cheap price for a cheap build.
5,"Great iphone, like brand new, zero issues so far"
4,works with straight talk
1,Get something else.
5,Love it. Exactly what I needed.
3,Only good for browsing the internet
1,Poor quality.  Broke down in the first 2 months.
5,awesome highly recommended++++
3,the memory isnt very good..
4,Good Price with extra
1,Dont buy
5,Luxurious product at a bargain price!
5,LOVE this cord
2,The mouse works fine. I'm really disappointed especially with a logitech product
4,"Peels well, adheres good, no stinky perfumes"
4,"Peels well, adheres good, no stinky perfumes"
4,"Peels well, adheres good, no stinky perfumes"
5,the cover is really good quality and looks quite industrial if that makes sense
4,Durable and easy to hold
1,Went to crap after a year!
5,Phone protector
2,STAY AWAY AF
3,Only half the cables work
3,You get what you pay for
3,A blu phone you should own
1,Will not recommend this
3,Service Provider Inaccurate
1,Inside of phone was corroded with paint!
1,Inside of phone was corroded with paint!
3,Doesn't have any way to know what DPI setting it's on.
5,5 stars
3,Control Bar no working.
1,Terrible iPhone
1,Nothing
5,Beautiful bracelet
5,My Wife's replacement phone
5,Definitely trust!!
1,Cheap and small mouse material. Hard to press keys on keyboard.
3,Very Good
5,Really works for fine lines and puffiness!
5,Really works for fine lines and puffiness!
5,Really works for fine lines and puffiness!
5,Really works for fine lines and puffiness!
5,Really works for fine lines and puffiness!
1,Came cracked already!
2,Hackers cab eavesdrop easily. Stick with a corded one
2,10 dollars gets you....
1,Garbage. Get a Microsoft combo.
3,so I needed a good range. Unfortunately the range is just average
2,you're happy with any old keyboard—then you'll probably rate this one ...
5,Great Phone - Better Than Expected
1,Buyer BEWARE!!!
3,"Works well, not compatable with newer Unify Adapter"
3,it's a great phone.
1,Cheap and cheerful; not for serious or prolonged use.
2,NOT AS GOOD AS EXPECTED
4,Awesome case looks and feels great
5,"Great value, works great"
5,Charged Samsung Galaxy S8 effectively
4,ex cable
1,This product was returned in the same box with the ...
1,"Pure rubbish,  I would not purchase again!"
5,Very good.
4,"Too soft, waste of money"
4,My HK Onyx speakers fits snugly within the case and ...
5,Ok
3,"It looks brand new. Unfortunately, the battery has ..."
4,It was okay. There was an extra button I ...
3,"phone works fine, arrived on time and everything was there"
1,"Junk, stopped after 6 weeks of light use..."
1,In accurate presentation of Product feature and its product.
5,Very nice
5,Very nice
5,Very nice
5,Love!!!
3,Phone itself seems fine but the battery is junk
2,Garbage.
5,Nice slim holder
4,No regrets
1,Spend more and buy something that works.
1,Avoid at all costs.
1,Not a sturdy product.
1,Mouse didn't work
1,Piece of junk. Mouse pointer jumps all over the ...
1,Mask or wax?
1,Mask or wax?
1,Mask or wax?
2,Phone 35% OK then Disappointing
1,DO NOT BUY THIS PHONE
2,Ok but short
3,bargan mouse for a bargan price
1,PHONES NOT UNLOCKED
5,Easy to Use and Great Quality
5,Great product from a great seller!
2,I am not pleased. Not sure why but its not working as ...
1,It stopped working after two weeks
3,"Nice, but could be better."
2,Cheaply made
1,I'd love to say it was great
2,Scroll wheel problems
5,Free example
1,Very passed off
5,Best phone for the money
5,Female usb to male micro usb.
3,Not sticky on edges.
3,A very good value. My services isn't as good as it ...
5,Really pleased. Good sturdy case with raised rubberised front for ...
1,Didn't last even 3 months
5,This is the third low priced smart phone that I've owned and the first one that ...
3,... the product by the base cover was broken but great product overall
4,Offers the protection needed for your phone but the rubbery ...
1,NOT unlocked as described
5,excellent
5,excellent
5,excellent
2,Cracked already
1,Careful what you buy!
1,IT'S A TRAP!
5,No camera clock sound snap chat quietly at last!
1,I guess it doesn't have good wireless reception
1,Package didn't include promised equipment
1,base is faulty - HP won't fix
1,I received the mouse malfunctioned.
5,Quality product that I would recommend
2,"I'm using a USB extension cable so the receiver is next to the keyboard, it's that weak"
1,These get worse with each update
5,Works great
5,Works great
5,Works great
1,Defective right out of the box.
4,Thumbs up
3,Super bulky but the colors are nice
5,Amazing smartphone at awesome price!
5,5 stars!!
1,I purchased two of these. One for work and ...
2,Heavy Lag and Poor Responsiveness
1,Love the phone looked brand new my first iPhone had ...
5,Great for the teenagers
5,"Great quality cables, very happy customer 😊"
5,Good chargers
5,Wonderful noise canceling and sound
1,no firmware if it is damaged no way to fix ...
5,Awesome product & delivery
2,Poor Tech Support
5,Really nicely made
3,"Keyboard is great, mouse is a bit too small and sometimes ..."
5,Great value.
3,The mouse4 and mouse5 buttons are wired backwards. Not ...
5,Perfect fit and EZ to install. BEST $ ever spent on Amazon!
5,I love this new phone!!!
1,My new screen is a broken one.
1,Cracked after 1day
4,Works and feel like brand new and unlocked
5,👍👍👍👍👍
3,The LED Pulsing can get annoying.
1,Not the best Logitech line
1,Complete shock
1,2 G only
5,Amazing for the Value!
1,Iphone failure
1,Iphone failure
1,Only lasted a month!
1,Keep clear from this seller
1,Terrible product of a cell phone.
5,Great cover!
1,They sell stolen merch
1,HOPPIDY HOPPITY HOP
5,review
4,It's an iPhone but...
1,The product having these inconvenient features were not indicated at all by the seller and this issue is very annoying and becomes so frustrating
3,Great mouse.
3,Connectivity issues...
2,"Looks and feels good, Breaks quickly and easily"
1,doesn't connect.  very frustrating.
5,Essential commodity.
1,... at the bottom so that s is not the best I've used
1,Did not like this phone
4,Great product picked one day shipping and got the package ...
2,Half of the set is useless
1,Underwhelming - doesn't stay connected.
5,could not be happier with my decision
3,Just right
4,"Good Phone, But Has 1 Problem"
1,Slow Response
3,Battery hog
1,I like my wired unit better
2,Quick delivery however the case is a really bad fit and isn't tight to the phone whatsoever therefore ...
1,lot of spam and bad apps directly gets installed without you doing it
2,I bought this because it'd been advertised as being quiet ...
4,Good Product ! only 2 issues that I've seen so far! 4 STARS
2,Does not come or work with Logitech Unifying connector. ...
5,Work Great on Our Old Studio Set
3,My keyboard fits in a pullout tray and when I ...
4,... these phones to my nieces in Nigeria and they love it! Its because of less memory space I ...
1,but I'll never get back the time wasted trying to get it to work
5,IPhone 6s screen protector
1,I could have bought a better set that wouldnt have died on me
1,Shocking
4,Love it! It is working well
5,perfect
3,It worked great out of the box
1,this phone have a problem on the screen with the touch
5,Nice case
2,Weak range. Mouse pointer and key input are very laggy.
1,A frustratingly intermittent keyboard
1,Be careful buyers!
5,Great product with fully fitting kit
1,“Certified Refurbished”... Not quite
5,Perfect. Recommend
1,HELP
1,Wheel popped out in two days. Can't return or replace
1,Poor Recomendation
2,Poor signal strenght
5,"Amazing, 100% suggest you’d buy"
3,Price is right!
1,product has serious deficiency
1,Phone wa defective
4,"If you want a non-slip case, this is the one."
5,Good as New
4,Otherwise a good buy as it allows you to enjoy looking at ...
2,Not too pleased with this product
5,it looked like brand new
5,Good looking case
1,Is not unifying
1,Quit working in less than a month
4,Review
3,It's good enough for work
3,Tiny mouse.
2,It will be much better to order the full size key board
5,Very well made - writing is perfect on it
1,Not Happy at all
3,I needed a quick replacement and this phone does what ...
5,My go to headphones now
2,I wouldn't get one after like I didn't have this for month I had a ...
5,No problem getting a sim card and the photos have been really good. we only purchased to be able to stay ...
1,I am very disappointed with my purchase
3,"Large mouse, I'm not a gamer I lust needed ..."
5,everything is good. I like the fact that they are different ...
2,These are good but received only 1 in good condition the other ...
1,"maybe it was just bad luck, but I received this mouse in what ..."
1,I need a seller contact info
2,The battery is not long-lasting at all. After installing ...
5,Beautiful
1,"12 mouth warrant Amazon pass the buck ,to 3rd seller ,I did not ask for this serves"
1,"Novelty product, poor quality"
5,best cell for the money
5,fab
1,The wireless sensor that is plugged in to USB outlet ...
3,Decent except for problem with my data connection
3,it works great (smooth/soft keys
2,"bum keyboard, decent mouse"
3,Not the right mouse for working
5,You well get alot of buyers
3,"USB A 2,0 f/m to Micro USB B male"
3,It is ok however the device is a little laggy ...
2,Blacks out
5,Excellent
5,Excellent
5,Excellent
5,Excellent
5,Excellent
5,Excellent
3,It's range isn't the greatest. The mouse will randomly lag periodically before snapping ...
3,I sent the phone back because my sim card wouldn't ...
5,"Easy to work, best cell phone ever"
2,MAKE SURE THEY HAVE UNIFYING LOGO ON!
1,Keyboard doesn't work although recognized by computer. No support!
1,Short Lived - USB Dongle Dies quickly
1,bad purchase
2,Not for me!
1,Don't Buy!
2,Buy a better one
5,Does the Job Well
5,Great case with good protection
1,"works, but not as intended."
5,Great sound quality and amazing noise cancellation
1,Phone has a problem.
2,Lags and Drains Batteries
1,Frustrated customer
5,... from Apple through Amazon and we couldn't be more pleased.
2,Looks very nice but keeps shutting off
5,Excellent clear case.
1,20 dollars is a pretty good deal for a wireless mouse and keyboard
1,I'm sure I just got a bad one but it locks up and I have to ...
5,Apple is the best
1,Keyboards in box with NO MOUSE or USB PORT
1,Beware
4,but the quality of the phone seems good.
5,both have worked out great.
1,Cannot even turn it on!
2,I like this phone (price/features) except for the fact that when ...
3,Not too great
5,"Perfect fit, great quality"
5,Very good
5,Very good
1,QC?
1,Connection is sporadic at best on the t-mobile network
1,Shame on you!
2,Very Loud Keyboard
2,LED stopped working after 2 weeks.
1,... my mom just to stay connected but that was worst experience ever
5,Works Well
5,My niece's first I phone.
5,Definitely recommend
5,Amazing!
5,Amazing!
1,Absolute Junk
2,"Looks Cool, but Difficult to Use"
5,Brilliant product!
1,Be wary!
5,Full sized and usable phone
1,Sound is very poor quality. No base and sounds like you are ...
5,Prefer it to the official Apple product it replaces
3,Only worked best on the nose
3,Only worked best on the nose
3,Only worked best on the nose
3,Only worked best on the nose
2,Not so great
5,Surprise !! IT'S really a Great Phone ...
4,so good. My son paid $800 for a new one
3,This phone looks great. Camera nice as well as size
2,The scroll wheel stopped functioning properly and began to cause ...
3,Good price but not Unifiying receiver.
1,Bought the phone back in November for my son. ...
5,fair
5,Really great and the best value
5,Work grate as it looks grate
5,Works onBeats Solo 3
5,Excellent screen saver
5,Excellent product. It arrived punctually as expected
3,Very happy with phone for the most part
1,Does not work with any SIM..
5,Very satisfied!!
5,Like new condition.
5,"Best in class sound quality, fit & finish, battery life, with great ANC to boot + USB C"
5,Works
1,Lag Lag Lag
5,Apple should package this with their newer phones.
1,Expensive charger!
2,bad mouse.
5,Great!
5,Great!
5,Great!
1,Very disappointed Customer
5,"Sturdy, Easy to Use, and Works Great!"
1,"Is a good smartphone, is very fast"
1,This is the worst piece of junk I have ever brought off amazon
3,¯\_(ツ)_/¯
1,... cards to fit this phone so it was a waste of money
4,good network connection
2,I need to return it. It's not working properly ...
1,that suck!
1,This thing just stopped working. Only had it for ...
2,Not Stable with a Mac
2,low quality and buggy
5,Great!!!!
1,Stay away from these on Verizon
5,I love to multi task and cook so it's perfect for ...
3,but just now hooked it up the keyboard works great but mouse only worked for one day then stop ...
5,it looks like brand new
1,No good. A rip off
1,THIS PHONE SUCKS SO MUCH
4,Great earphones for your phone
5,... for 5 months now and it is still in great condition. It came in a box and charger
1,Garbage. It’s cheap crushed velvet or something and is ...
2,"Pictures are so dark, the battery last 4 hours ..."
1,NOT THE CORRECT CARRIER
2,Way Small Mouse & No Forward/Back Side Buttons
5,"This cable works well with my Studio Beats, including ..."
1,The worst cables i have ever bought
5,"Phone is new, no coments 10 points!! ..."
1,The keyboard is definitely better than the other low range wireless keyboard-mice combos
1,It was great while it lasted
5,Great Screen Protectors
5,iPhones are a good choice.
3,"but not exactly great sound, lot of bass boost"
1,I would not recommend this product
1,Garbage!!!
1,Mouse stopped working after 1 month.
5,worked perfect. Phone was in great condition
1,Terrible Mouse
1,Beware...
2,Not upto expectation
5,I now take my speaker everywhere
5,rca m1 unlocked cell phone dual sim 5mp does it really take two sims cards.
2,There is a ridge right down the middle of the ...
1,Don't buy from this vendor.
5,Fits iPhone 6 perfectly
3,hmm
5,Really nice phone case
4,"Three speakers, three different approaches"
5,Nice chopsticks!
5,This phone works wonderfully! Ignore all the bad reviews
3,Cool mouse. Good deal.
1,good gentlemen afternoon amazon my claim is that buy two ...
5,excellent for the price
4,Unbelievable Value
2,extremely little treble
2,Do not recommend.
5,100% Perfect Condition!
3,Good board for the money
5,Beautiful!
1,Can't do 3G data.
1,"Unreliable, flaky"
1,Didn't work upon arrival.
5,but in the end I'm very happy with my purchase
4,Check before if works with a company you have
5,Great and inexpensive phone.
3,Can't turn camera noise off
2,Disappointed after a long time.
3,The keyboard worked OK for about two years but then ...
5,... took a chance on this phone and it was perfect No issues love it
1,COMPLETE GARBAGE
1,Buy the better model!  mk520!!!
3,"2 are fine, the other one"
5,Watch the price daily on different colors and catch a great deal!!
1,I've tried this mouse out twice now. First attempt ...
2,"the bluetooth range is garbage, a wireless speaker i have needs a 6 ..."
2,Wireless distance is too small
2,Not a crisp clear picture!
1,SCAM
1,SCAM
5,DONT BELIEVE BAD REVIEWS PHONE IS GREAT!!!!!
5,Perfect no-bulk case to show off & protect your phone
1,Worst range I've ever had on a wireless keyboard and mouse.
2,Disappointing Color Accuracy
5,Perfect
5,Perfect
5,Perfect
5,Perfect
1,Not worth the money!
1,This monitor can dance when you lightly touch it !!!!
5,Just perfect!
4,"Fits great, but I have to remove it before using ..."
5,"love it,nothing wrong 💖"
3,RCA Touch Screen
5,Thank god I bought this as I dropped phone 2days ...
5,Good for money making videos.
5,MUST HAVE for dark circles!!!
2,HP missed the ball on this one or I received a defective unit.
5,Nice
5,Nice
5,Nice
5,Nice
4,"Perfect phone, but the shutter noise couldn't be muted:("
4,they like it fine
1,Does not support the unifying receiver. To get that ...
1,Absoutely the worst keyboard and mouse possible
4,ok phone
1,DONT BUY! WASTE OF MONEY
5,USB On-The-Go lead works with android tablet
3,Scroll Wheel Bad Within a Month
1,Bought it because it was cheap and worked well for ...
3,NOT A 4G PHONE
1,No wireless range for the keyboard.
5,I Love It!
5,... the same one every single time as they're so brilliant! Keep them on my phone until they're fully ...
2,Late on Delivery by 2 weeks and has already started ...
3,Not really worth it.
5,Very good quality chopsticks.
5,A name I can trust!!
